,age,job,marital,education,balance,housing,duration,campaign,approval
265,40.0,6,1,1,1516,1,373.0,1,0
266,29.0,8,2,1,872,1,230.0,1,0
267,33.0,9,1,2,-988,1,83.0,3,0
268,38.0,0,2,1,902,1,58.0,13,0
269,56.0,7,0,1,1007,0,88.0,6,0
270,40.0,7,1,1,0,1,297.0,1,0
271,24.0,1,2,1,174,1,487.0,1,1
272,46.0,4,1,1,12186,0,29.0,3,0
273,35.0,6,1,1,524,1,484.0,4,0
274,35.0,1,2,2,0,1,262.0,4,0
275,34.0,9,1,1,4,1,644.0,1,0
276,35.0,3,1,2,11219,0,699.0,2,0
277,38.0,9,2,2,0,0,247.0,2,0
278,50.0,1,1,0,5776,0,49.0,3,0
279,51.0,1,0,0,37,1,341.0,1,0
280,59.0,6,1,2,593,0,64.0,2,0
281,32.0,1,1,1,1148,1,121.0,1,0
282,37.0,1,2,1,3561,1,98.0,1,0
283,42.0,0,0,1,63,0,88.0,6,0
284,40.0,8,1,1,260,0,197.0,6,0
285,28.0,9,2,2,2269,1,331.0,1,0
286,47.0,0,1,1,1060,1,83.0,3,0
287,27.0,6,1,1,-220,1,138.0,2,0
288,41.0,4,1,2,49,1,312.0,5,0
289,34.0,0,1,2,69,0,120.0,3,1
290,50.0,1,1,0,4108,1,526.0,2,1
291,47.0,1,1,1,480,1,211.0,2,0
292,53.0,7,1,1,4994,0,62.0,6,0
293,53.0,9,0,1,0,1,135.0,5,0
294,47.0,4,1,2,3681,0,101.0,2,0
295,49.0,2,0,3,-701,1,988.0,2,1
296,29.0,4,1,2,451,0,451.0,1,0
297,45.0,1,0,0,-311,1,1030.0,1,1
298,38.0,2,1,1,593,1,1484.0,24,1
299,32.0,1,1,1,759,1,317.0,5,1
300,70.0,5,0,0,4531,0,445.0,1,0
301,65.0,5,0,0,1840,0,383.0,2,0
302,56.0,1,1,1,345,1,605.0,1,0
303,35.0,1,1,1,1287,1,330.0,2,0
304,56.0,4,1,3,353,0,171.0,2,0
305,56.0,9,1,1,205,0,442.0,2,0
306,49.0,2,1,1,687,1,772.0,1,1
307,38.0,10,1,0,1147,1,249.0,5,0
308,35.0,4,1,2,4286,1,357.0,1,0
309,38.0,0,1,2,605,0,147.0,2,0
310,49.0,1,1,1,8545,1,199.0,7,0
311,55.0,4,1,3,559,0,271.0,2,0
312,43.0,1,2,0,2,1,783.0,3,0
313,43.0,4,1,2,2,0,472.0,2,0
314,25.0,0,2,2,760,1,223.0,3,1
315,30.0,1,1,0,1317,1,395.0,2,0
316,46.0,1,1,1,182,0,56.0,1,0
317,50.0,0,1,0,276,0,641.0,6,0
318,35.0,2,1,1,2971,0,429.0,4,1
319,26.0,10,2,1,1064,0,113.0,1,0
320,45.0,0,1,3,1783,0,11.0,11,0
321,37.0,1,1,1,-67,0,157.0,1,0
322,60.0,6,2,2,179,0,79.0,4,0
323,38.0,4,1,2,1199,0,178.0,1,1
324,47.0,1,1,0,214,1,168.0,1,0
325,33.0,9,1,1,6699,0,425.0,1,0
326,51.0,10,1,1,1760,0,162.0,1,0
327,35.0,2,2,2,145,1,-799.0,2,1
328,35.0,10,1,1,978,0,1370.0,3,1
329,48.0,0,2,1,1150,1,357.0,1,0
330,37.0,0,1,1,121,0,22.0,6,0
331,29.0,9,2,2,828,1,215.0,3,0
332,34.0,0,1,1,244,1,56.0,4,0
333,32.0,7,1,0,228,1,1017.0,6,1
334,30.0,4,2,2,424,0,298.0,4,1
335,47.0,4,0,2,447,0,126.0,1,0
336,33.0,1,1,0,-195,0,9.0,1,0
337,33.0,4,2,2,1410,1,8.0,1,0
338,63.0,5,1,0,1084,0,201.0,1,0
339,51.0,6,0,0,10924,0,106.0,2,0
340,41.0,4,1,2,832,1,164.0,1,0
341,56.0,5,1,2,478,0,97.0,1,0
342,60.0,4,2,2,0,0,151.0,1,0
343,41.0,6,2,2,3950,1,96.0,2,0
344,37.0,4,2,3,504,1,555.0,1,0
345,36.0,1,2,1,219,1,270.0,2,0
346,57.0,4,1,2,1602,0,339.0,3,0
347,55.0,4,1,0,2587,0,328.0,2,1
348,44.0,0,1,1,0,1,159.0,1,0
349,47.0,6,1,2,2303,1,323.0,2,0
350,31.0,1,1,1,1660,1,342.0,1,0
351,35.0,4,1,2,32,1,180.0,1,0
352,39.0,4,1,2,278,0,60.0,3,0
353,50.0,4,1,2,4,0,223.0,1,0
354,29.0,4,1,2,318,1,1434.0,2,0
355,30.0,7,2,1,209,1,30.0,2,0
356,46.0,7,1,1,271,1,134.0,4,0
357,27.0,4,2,3,3196,0,10.0,2,0
358,48.0,0,0,1,4099,0,397.0,2,1
359,26.0,8,2,1,2572,1,620.0,1,0
360,36.0,4,2,2,339,0,6.0,6,0
361,42.0,1,1,0,0,1,209.0,2,0
362,50.0,3,1,0,395,1,419.0,2,0
363,49.0,1,1,1,2039,1,283.0,2,0
364,45.0,4,1,2,5450,0,188.0,2,0
365,23.0,8,2,1,780,0,267.0,1,0
366,38.0,9,2,1,0,1,196.0,2,0
367,32.0,4,2,2,8436,1,245.0,1,0
368,60.0,9,2,0,11262,0,323.0,1,1
369,30.0,2,1,1,946,1,1065.0,1,0
370,58.0,3,1,2,497,0,138.0,5,0
371,60.0,5,1,0,55,0,207.0,1,0
372,38.0,7,1,1,-140,0,456.0,3,0
373,51.0,9,1,1,-379,1,261.0,1,0
374,42.0,0,1,1,-396,1,80.0,1,0
375,30.0,7,2,1,0,1,131.0,6,0
376,40.0,4,1,0,733,1,94.0,7,0
377,37.0,4,1,2,393,1,567.0,3,1
378,53.0,9,0,0,7290,1,153.0,1,0
379,27.0,7,2,1,468,1,109.0,1,0
380,39.0,1,1,1,0,1,53.0,1,0
381,39.0,1,1,0,3705,1,77.0,1,0
382,59.0,5,1,2,9676,0,234.0,2,1
383,37.0,7,1,1,1328,1,121.0,2,0
384,41.0,1,1,0,8,1,155.0,2,0
385,45.0,1,1,0,61,0,108.0,1,0
386,48.0,4,1,2,6613,0,159.0,3,0
387,48.0,9,1,1,302,1,208.0,3,0
388,32.0,1,1,1,1005,0,215.0,1,0
389,35.0,7,1,1,109,1,597.0,3,0
390,33.0,4,2,2,1240,1,505.0,2,0
391,28.0,1,2,0,0,1,380.0,4,0
392,64.0,5,1,3,2923,0,120.0,1,0
393,35.0,9,1,1,0,0,106.0,4,0
394,33.0,1,1,1,43,1,332.0,2,0
395,41.0,9,1,1,288,1,221.0,4,0
396,34.0,0,1,1,613,1,80.0,1,0
397,37.0,9,2,2,6101,0,60.0,5,0
398,38.0,1,1,0,168,1,212.0,3,0
399,39.0,1,1,0,7685,1,493.0,3,0
400,35.0,9,0,2,4515,1,98.0,2,0
401,28.0,1,2,1,517,0,681.0,1,1
402,27.0,1,2,1,148,0,203.0,1,0
403,48.0,5,1,0,-285,0,157.0,1,0
404,50.0,1,1,1,887,0,287.0,1,0
405,45.0,6,1,1,3098,1,159.0,2,0
406,41.0,9,1,2,744,1,125.0,1,0
407,39.0,9,1,1,130,0,202.0,2,0
408,44.0,4,1,1,438,1,37.0,3,0
409,54.0,0,1,1,0,0,161.0,1,1
410,49.0,4,1,2,322,0,72.0,4,0
411,34.0,1,2,1,186,0,342.0,1,0
412,75.0,5,0,2,3810,1,262.0,1,1
413,42.0,4,1,2,0,0,325.0,2,0
414,53.0,1,1,1,4380,0,223.0,7,0
415,49.0,4,0,2,755,0,1212.0,4,1
416,31.0,7,2,1,2070,0,319.0,2,0
417,45.0,1,2,0,999,0,182.0,2,0
418,39.0,6,1,1,167,1,330.0,1,0
419,46.0,9,1,1,1322,1,514.0,1,0
420,42.0,0,0,1,1076,1,213.0,1,0
421,37.0,4,1,2,502,1,551.0,1,0
422,26.0,9,2,2,1216,1,472.0,2,0
423,37.0,4,2,2,876,1,140.0,4,0
424,36.0,7,2,1,342,1,142.0,1,0
425,29.0,1,2,0,950,1,135.0,3,0
426,36.0,1,1,0,973,1,293.0,1,0
427,26.0,9,1,2,3825,1,107.0,1,0
428,32.0,1,1,1,2366,1,127.0,2,0
429,40.0,4,1,2,542,1,1816.0,1,0
430,53.0,4,1,0,995,0,200.0,3,0
431,29.0,4,1,2,20,1,418.0,1,0
432,34.0,9,2,2,228,1,387.0,4,0
433,43.0,1,1,1,130,0,156.0,1,0
434,56.0,4,1,2,217,0,121.0,2,0
435,55.0,2,0,2,0,0,108.0,2,0
436,31.0,6,1,2,259,1,47.0,1,0
437,27.0,0,2,1,619,1,16.0,5,0
438,36.0,4,1,1,644,1,54.0,2,0
439,44.0,4,1,2,22,1,265.0,2,0
440,37.0,0,0,2,4303,1,168.0,1,0
441,30.0,0,2,1,239,1,115.0,3,0
442,42.0,9,2,1,275,0,31.0,8,0
443,30.0,4,1,2,1221,1,279.0,4,1
444,62.0,5,1,1,816,0,28.0,2,0
445,24.0,1,1,1,1222,1,369.0,1,0
446,31.0,9,1,1,2363,1,247.0,1,0
447,66.0,5,1,2,2262,0,155.0,1,0
448,47.0,0,1,1,2,0,89.0,1,0
449,39.0,2,1,2,2,1,180.0,1,0
450,35.0,9,1,1,4508,1,854.0,1,1
451,35.0,0,0,1,-402,1,46.0,1,0
452,27.0,9,1,1,1577,1,266.0,2,0
453,32.0,1,1,1,34,1,321.0,2,0
454,44.0,4,1,2,795,0,99.0,24,0
455,42.0,1,1,1,117,1,147.0,1,0
456,34.0,6,3,2,5462,0,430.0,1,1
457,25.0,7,2,1,402,0,264.0,1,0
458,40.0,9,2,1,641,0,156.0,6,0
459,43.0,4,0,2,36,0,118.0,1,0
460,55.0,10,1,2,383,0,343.0,3,0
461,50.0,1,1,1,283,1,226.0,3,0
462,45.0,4,0,2,0,0,5.0,1,0
463,35.0,1,0,1,3102,1,138.0,1,0
464,32.0,1,1,1,889,1,185.0,1,1
465,59.0,3,1,1,0,0,722.0,1,0
466,34.0,6,1,1,-370,1,748.0,1,0
467,39.0,4,1,2,-606,1,142.0,1,0
468,40.0,4,2,1,10378,1,523.0,3,0
469,36.0,1,2,0,1313,1,8.0,10,0
470,40.0,4,1,2,8969,1,153.0,1,0
471,55.0,6,1,1,-196,1,210.0,2,0
472,38.0,2,1,1,15,1,121.0,1,0
473,61.0,0,1,1,4608,0,212.0,1,1
474,41.0,4,1,2,666,1,253.0,3,0
475,57.0,1,1,0,452,1,139.0,4,0
476,48.0,1,1,1,149,1,71.0,1,0
477,77.0,5,1,2,7802,0,421.0,1,1
478,35.0,7,1,1,1453,1,199.0,1,0
479,54.0,1,1,1,1480,1,108.0,1,0
480,37.0,4,2,3,715,1,247.0,2,0
481,56.0,4,2,1,237,1,236.0,4,0
482,40.0,9,1,1,694,1,97.0,4,0
483,40.0,4,1,2,0,0,109.0,8,0
484,54.0,4,1,2,55,1,112.0,2,0
485,55.0,3,1,0,136,1,15.0,10,0
486,55.0,7,0,1,-404,1,502.0,3,0
487,52.0,1,1,0,779,1,30.0,3,0
488,55.0,1,2,0,1187,1,193.0,2,0
489,33.0,4,1,2,641,1,347.0,2,0
490,52.0,1,1,3,826,1,468.0,2,0
491,33.0,7,0,1,991,1,148.0,1,0
492,53.0,0,1,1,1796,0,295.0,1,1
493,46.0,0,1,1,22,0,388.0,6,1
494,44.0,9,2,1,244,1,1735.0,4,1
495,48.0,4,0,2,1328,1,339.0,1,0
496,50.0,3,1,1,7317,1,172.0,1,0
497,34.0,9,2,1,4943,1,117.0,2,0
498,38.0,9,2,1,258,0,587.0,2,0
499,42.0,4,2,2,515,1,501.0,2,0
500,32.0,4,2,2,12607,0,203.0,5,0
501,58.0,0,1,1,2,1,282.0,9,0
502,31.0,4,1,2,13,0,110.0,5,0
503,19.0,8,2,0,103,0,104.0,2,1
504,41.0,4,1,2,3872,0,231.0,1,0
505,31.0,10,1,1,296,1,378.0,3,0
506,52.0,6,2,0,217,0,193.0,6,0
507,42.0,6,0,2,360,1,110.0,5,0
508,41.0,1,2,1,428,1,92.0,1,0
509,30.0,1,2,1,315,0,1407.0,1,1
510,38.0,1,1,1,121,1,168.0,1,0
511,32.0,4,1,2,820,1,738.0,3,0
512,52.0,9,1,1,195,1,220.0,1,1
513,48.0,4,0,2,108,1,89.0,2,0
514,36.0,4,1,2,-381,1,30.0,29,0
515,45.0,10,0,0,757,0,103.0,1,0
516,34.0,9,1,2,691,1,70.0,1,0
517,36.0,1,1,0,1925,1,904.0,2,1
518,34.0,4,1,2,902,1,159.0,1,0
519,61.0,5,1,1,5207,0,336.0,1,0
520,54.0,7,1,1,0,0,220.0,1,0
521,50.0,2,1,1,665,0,238.0,1,0
522,43.0,0,0,1,738,1,585.0,4,0
523,47.0,1,1,0,233,0,293.0,3,0
524,45.0,7,1,1,-839,1,68.0,1,0
525,57.0,5,1,0,5799,0,97.0,1,0
526,27.0,0,1,1,1033,1,1713.0,1,0
527,49.0,10,0,1,66,0,218.0,3,0
528,43.0,7,1,0,2567,1,109.0,1,0
529,40.0,4,1,2,1584,1,661.0,1,0
530,32.0,7,2,1,182,1,145.0,1,0
531,58.0,4,1,0,76,1,54.0,4,0
532,34.0,0,2,1,663,1,111.0,1,0
533,46.0,9,0,1,3455,1,566.0,2,0
534,29.0,1,1,1,15,0,136.0,1,0
535,52.0,1,1,0,1054,0,273.0,1,0
536,45.0,4,1,2,1529,0,160.0,1,0
537,26.0,4,2,1,63,0,76.0,4,0
538,40.0,9,1,2,0,0,44.0,1,0
539,41.0,0,1,1,920,1,239.0,1,0
540,47.0,0,2,1,3696,0,250.0,2,1
541,27.0,9,2,3,59,0,792.0,4,0
542,27.0,7,1,1,0,1,198.0,13,0
543,48.0,1,1,1,157,1,73.0,1,0
544,49.0,0,1,1,2465,0,157.0,3,0
545,35.0,1,1,0,0,1,90.0,6,0
546,47.0,6,1,1,2,0,236.0,2,0
547,54.0,4,1,2,0,0,118.0,5,0
548,39.0,4,2,2,12437,0,40.0,1,0
549,28.0,8,2,1,378,1,346.0,1,0
550,54.0,1,1,0,211,0,200.0,2,0
551,34.0,9,1,1,-228,1,187.0,3,0
552,63.0,5,1,1,2747,0,113.0,1,0
553,42.0,6,1,2,1932,1,192.0,32,0
554,43.0,9,2,1,11269,0,92.0,1,0
555,37.0,0,1,1,1314,1,682.0,2,0
556,55.0,1,1,0,2275,0,139.0,9,0
557,43.0,4,2,2,1304,0,501.0,2,1
558,41.0,1,1,1,720,0,651.0,1,1
559,47.0,9,0,1,2914,1,405.0,13,0
560,34.0,9,1,1,1464,1,350.0,1,0
561,28.0,8,2,1,11555,0,125.0,2,0
562,36.0,7,1,1,-302,1,36.0,2,0
563,50.0,9,1,1,2497,1,35.0,1,0
564,35.0,1,1,1,-339,1,389.0,2,0
565,40.0,9,1,1,56,1,194.0,1,0
566,26.0,6,2,2,211,0,168.0,3,0
567,36.0,4,0,2,3611,1,347.0,3,0
568,59.0,10,1,0,0,0,3025.0,2,0
569,28.0,8,2,1,459,0,83.0,13,0
